train_loss,Unnamed: 0,test_loss,train_acc,test_acc,epoch,lr,weight_decay,params_acc,last_model,current_indices,TaskLearner,ActiveLearn,train_size,pool_size,n
3.756956,0,3.910681,1.500000,1.750000,1,0.000500,0.001000,0.145000,False,"[4, 487, 1507, 1487, 108, 798, 1363, 1120, 526, 328, 1138, 1416, 463, 245, 1019, 393, 539, 1432, 222, 1259, 916, 497, 452, 696, 60, 820, 1374, 1584, 107, 948, 1146, 686, 357, 501, 1139, 1011, 1545, 778, 1449, 1184, 889, 1350, 1075, 1347, 806, 522, 612, 162, 940, 467, 790, 595, 996, 1239, 507, 432, 562, 266, 1179, 979, 1142, 437, 1051, 5, 1089, 1013, 181, 368, 1431, 151, 1485, 1390, 24, 199, 244, 294, 770, 1429, 193, 765, 105, 1468, 1112, 80, 986, 1496, 441, 966, 86, 727, 1351, 137, 1420, 839, 484, 1330, 187, 1401, 1546, 1258, 1175, 605, 1037, 293, 276, 410, 949, 962, 864, 354, 1509, 347, 1029, 214, 129, 854, 718, 1067, 1073, 1483, 26, 874, 1309, 710, 211, 1459, 994, 228, 636, 1180, 170, 1205, 468, 420, 184, 831, 616, 374, 232, 961, 1341, 1446, 677, 1225, 999, 1127, 1525, 1537, 302, 310, 49, 657, 1335, 760, 1551, 196, 641, 1514, 1473, 959, 166, 620, 1155, 377, 664, 551, 913, 265, 1598, 425, 1533, 985, 243, 103, 270, 35, 1387, 511, 1163, 79, 1039, 846, 623, 1237, 713, 757, 1451, 472, 416, 1071, 1276, 1306, 956, 1174, 1539, 957, 1095, 908, 1474, 1156]",Simple,Uncertain+Random,200,1400,0
3.748757,1,3.909230,5.000000,4.250000,2,0.000500,0.001000,0.145000,False,"[4, 487, 1507, 1487, 108, 798, 1363, 1120, 526, 328, 1138, 1416, 463, 245, 1019, 393, 539, 1432, 222, 1259, 916, 497, 452, 696, 60, 820, 1374, 1584, 107, 948, 1146, 686, 357, 501, 1139, 1011, 1545, 778, 1449, 1184, 889, 1350, 1075, 1347, 806, 522, 612, 162, 940, 467, 790, 595, 996, 1239, 507, 432, 562, 266, 1179, 979, 1142, 437, 1051, 5, 1089, 1013, 181, 368, 1431, 151, 1485, 1390, 24, 199, 244, 294, 770, 1429, 193, 765, 105, 1468, 1112, 80, 986, 1496, 441, 966, 86, 727, 1351, 137, 1420, 839, 484, 1330, 187, 1401, 1546, 1258, 1175, 605, 1037, 293, 276, 410, 949, 962, 864, 354, 1509, 347, 1029, 214, 129, 854, 718, 1067, 1073, 1483, 26, 874, 1309, 710, 211, 1459, 994, 228, 636, 1180, 170, 1205, 468, 420, 184, 831, 616, 374, 232, 961, 1341, 1446, 677, 1225, 999, 1127, 1525, 1537, 302, 310, 49, 657, 1335, 760, 1551, 196, 641, 1514, 1473, 959, 166, 620, 1155, 377, 664, 551, 913, 265, 1598, 425, 1533, 985, 243, 103, 270, 35, 1387, 511, 1163, 79, 1039, 846, 623, 1237, 713, 757, 1451, 472, 416, 1071, 1276, 1306, 956, 1174, 1539, 957, 1095, 908, 1474, 1156]",Simple,Uncertain+Random,200,1400,0
3.742327,2,3.907880,7.500000,4.750000,3,0.000500,0.001000,0.145000,False,"[4, 487, 1507, 1487, 108, 798, 1363, 1120, 526, 328, 1138, 1416, 463, 245, 1019, 393, 539, 1432, 222, 1259, 916, 497, 452, 696, 60, 820, 1374, 1584, 107, 948, 1146, 686, 357, 501, 1139, 1011, 1545, 778, 1449, 1184, 889, 1350, 1075, 1347, 806, 522, 612, 162, 940, 467, 790, 595, 996, 1239, 507, 432, 562, 266, 1179, 979, 1142, 437, 1051, 5, 1089, 1013, 181, 368, 1431, 151, 1485, 1390, 24, 199, 244, 294, 770, 1429, 193, 765, 105, 1468, 1112, 80, 986, 1496, 441, 966, 86, 727, 1351, 137, 1420, 839, 484, 1330, 187, 1401, 1546, 1258, 1175, 605, 1037, 293, 276, 410, 949, 962, 864, 354, 1509, 347, 1029, 214, 129, 854, 718, 1067, 1073, 1483, 26, 874, 1309, 710, 211, 1459, 994, 228, 636, 1180, 170, 1205, 468, 420, 184, 831, 616, 374, 232, 961, 1341, 1446, 677, 1225, 999, 1127, 1525, 1537, 302, 310, 49, 657, 1335, 760, 1551, 196, 641, 1514, 1473, 959, 166, 620, 1155, 377, 664, 551, 913, 265, 1598, 425, 1533, 985, 243, 103, 270, 35, 1387, 511, 1163, 79, 1039, 846, 623, 1237, 713, 757, 1451, 472, 416, 1071, 1276, 1306, 956, 1174, 1539, 957, 1095, 908, 1474, 1156]",Simple,Uncertain+Random,200,1400,0
3.726475,3,3.906332,12.500000,5.250000,4,0.000500,0.001000,0.145000,False,"[4, 487, 1507, 1487, 108, 798, 1363, 1120, 526, 328, 1138, 1416, 463, 245, 1019, 393, 539, 1432, 222, 1259, 916, 497, 452, 696, 60, 820, 1374, 1584, 107, 948, 1146, 686, 357, 501, 1139, 1011, 1545, 778, 1449, 1184, 889, 1350, 1075, 1347, 806, 522, 612, 162, 940, 467, 790, 595, 996, 1239, 507, 432, 562, 266, 1179, 979, 1142, 437, 1051, 5, 1089, 1013, 181, 368, 1431, 151, 1485, 1390, 24, 199, 244, 294, 770, 1429, 193, 765, 105, 1468, 1112, 80, 986, 1496, 441, 966, 86, 727, 1351, 137, 1420, 839, 484, 1330, 187, 1401, 1546, 1258, 1175, 605, 1037, 293, 276, 410, 949, 962, 864, 354, 1509, 347, 1029, 214, 129, 854, 718, 1067, 1073, 1483, 26, 874, 1309, 710, 211, 1459, 994, 228, 636, 1180, 170, 1205, 468, 420, 184, 831, 616, 374, 232, 961, 1341, 1446, 677, 1225, 999, 1127, 1525, 1537, 302, 310, 49, 657, 1335, 760, 1551, 196, 641, 1514, 1473, 959, 166, 620, 1155, 377, 664, 551, 913, 265, 1598, 425, 1533, 985, 243, 103, 270, 35, 1387, 511, 1163, 79, 1039, 846, 623, 1237, 713, 757, 1451, 472, 416, 1071, 1276, 1306, 956, 1174, 1539, 957, 1095, 908, 1474, 1156]",Simple,Uncertain+Random,200,1400,0
3.705479,4,3.904353,18.500000,4.000000,5,0.000500,0.001000,0.145000,False,"[4, 487, 1507, 1487, 108, 798, 1363, 1120, 526, 328, 1138, 1416, 463, 245, 1019, 393, 539, 1432, 222, 1259, 916, 497, 452, 696, 60, 820, 1374, 1584, 107, 948, 1146, 686, 357, 501, 1139, 1011, 1545, 778, 1449, 1184, 889, 1350, 1075, 1347, 806, 522, 612, 162, 940, 467, 790, 595, 996, 1239, 507, 432, 562, 266, 1179, 979, 1142, 437, 1051, 5, 1089, 1013, 181, 368, 1431, 151, 1485, 1390, 24, 199, 244, 294, 770, 1429, 193, 765, 105, 1468, 1112, 80, 986, 1496, 441, 966, 86, 727, 1351, 137, 1420, 839, 484, 1330, 187, 1401, 1546, 1258, 1175, 605, 1037, 293, 276, 410, 949, 962, 864, 354, 1509, 347, 1029, 214, 129, 854, 718, 1067, 1073, 1483, 26, 874, 1309, 710, 211, 1459, 994, 228, 636, 1180, 170, 1205, 468, 420, 184, 831, 616, 374, 232, 961, 1341, 1446, 677, 1225, 999, 1127, 1525, 1537, 302, 310, 49, 657, 1335, 760, 1551, 196, 641, 1514, 1473, 959, 166, 620, 1155, 377, 664, 551, 913, 265, 1598, 425, 1533, 985, 243, 103, 270, 35, 1387, 511, 1163, 79, 1039, 846, 623, 1237, 713, 757, 1451, 472, 416, 1071, 1276, 1306, 956, 1174, 1539, 957, 1095, 908, 1474, 1156]",Simple,Uncertain+Random,200,1400,0
3.689321,5,3.902458,20.000000,5.250000,6,0.000500,0.001000,0.145000,False,"[4, 487, 1507, 1487, 108, 798, 1363, 1120, 526, 328, 1138, 1416, 463, 245, 1019, 393, 539, 1432, 222, 1259, 916, 497, 452, 696, 60, 820, 1374, 1584, 107, 948, 1146, 686, 357, 501, 1139, 1011, 1545, 778, 1449, 1184, 889, 1350, 1075, 1347, 806, 522, 612, 162, 940, 467, 790, 595, 996, 1239, 507, 432, 562, 266, 1179, 979, 1142, 437, 1051, 5, 1089, 1013, 181, 368, 1431, 151, 1485, 1390, 24, 199, 244, 294, 770, 1429, 193, 765, 105, 1468, 1112, 80, 986, 1496, 441, 966, 86, 727, 1351, 137, 1420, 839, 484, 1330, 187, 1401, 1546, 1258, 1175, 605, 1037, 293, 276, 410, 949, 962, 864, 354, 1509, 347, 1029, 214, 129, 854, 718, 1067, 1073, 1483, 26, 874, 1309, 710, 211, 1459, 994, 228, 636, 1180, 170, 1205, 468, 420, 184, 831, 616, 374, 232, 961, 1341, 1446, 677, 1225, 999, 1127, 1525, 1537, 302, 310, 49, 657, 1335, 760, 1551, 196, 641, 1514, 1473, 959, 166, 620, 1155, 377, 664, 551, 913, 265, 1598, 425, 1533, 985, 243, 103, 270, 35, 1387, 511, 1163, 79, 1039, 846, 623, 1237, 713, 757, 1451, 472, 416, 1071, 1276, 1306, 956, 1174, 1539, 957, 1095, 908, 1474, 1156]",Simple,Uncertain+Random,200,1400,0
3.684849,6,3.900517,19.500000,6.000000,7,0.000500,0.001000,0.145000,False,"[4, 487, 1507, 1487, 108, 798, 1363, 1120, 526, 328, 1138, 1416, 463, 245, 1019, 393, 539, 1432, 222, 1259, 916, 497, 452, 696, 60, 820, 1374, 1584, 107, 948, 1146, 686, 357, 501, 1139, 1011, 1545, 778, 1449, 1184, 889, 1350, 1075, 1347, 806, 522, 612, 162, 940, 467, 790, 595, 996, 1239, 507, 432, 562, 266, 1179, 979, 1142, 437, 1051, 5, 1089, 1013, 181, 368, 1431, 151, 1485, 1390, 24, 199, 244, 294, 770, 1429, 193, 765, 105, 1468, 1112, 80, 986, 1496, 441, 966, 86, 727, 1351, 137, 1420, 839, 484, 1330, 187, 1401, 1546, 1258, 1175, 605, 1037, 293, 276, 410, 949, 962, 864, 354, 1509, 347, 1029, 214, 129, 854, 718, 1067, 1073, 1483, 26, 874, 1309, 710, 211, 1459, 994, 228, 636, 1180, 170, 1205, 468, 420, 184, 831, 616, 374, 232, 961, 1341, 1446, 677, 1225, 999, 1127, 1525, 1537, 302, 310, 49, 657, 1335, 760, 1551, 196, 641, 1514, 1473, 959, 166, 620, 1155, 377, 664, 551, 913, 265, 1598, 425, 1533, 985, 243, 103, 270, 35, 1387, 511, 1163, 79, 1039, 846, 623, 1237, 713, 757, 1451, 472, 416, 1071, 1276, 1306, 956, 1174, 1539, 957, 1095, 908, 1474, 1156]",Simple,Uncertain+Random,200,1400,0
3.667592,7,3.898629,21.500000,6.750000,8,0.000500,0.001000,0.145000,False,"[4, 487, 1507, 1487, 108, 798, 1363, 1120, 526, 328, 1138, 1416, 463, 245, 1019, 393, 539, 1432, 222, 1259, 916, 497, 452, 696, 60, 820, 1374, 1584, 107, 948, 1146, 686, 357, 501, 1139, 1011, 1545, 778, 1449, 1184, 889, 1350, 1075, 1347, 806, 522, 612, 162, 940, 467, 790, 595, 996, 1239, 507, 432, 562, 266, 1179, 979, 1142, 437, 1051, 5, 1089, 1013, 181, 368, 1431, 151, 1485, 1390, 24, 199, 244, 294, 770, 1429, 193, 765, 105, 1468, 1112, 80, 986, 1496, 441, 966, 86, 727, 1351, 137, 1420, 839, 484, 1330, 187, 1401, 1546, 1258, 1175, 605, 1037, 293, 276, 410, 949, 962, 864, 354, 1509, 347, 1029, 214, 129, 854, 718, 1067, 1073, 1483, 26, 874, 1309, 710, 211, 1459, 994, 228, 636, 1180, 170, 1205, 468, 420, 184, 831, 616, 374, 232, 961, 1341, 1446, 677, 1225, 999, 1127, 1525, 1537, 302, 310, 49, 657, 1335, 760, 1551, 196, 641, 1514, 1473, 959, 166, 620, 1155, 377, 664, 551, 913, 265, 1598, 425, 1533, 985, 243, 103, 270, 35, 1387, 511, 1163, 79, 1039, 846, 623, 1237, 713, 757, 1451, 472, 416, 1071, 1276, 1306, 956, 1174, 1539, 957, 1095, 908, 1474, 1156]",Simple,Uncertain+Random,200,1400,0
3.644539,8,3.896431,23.500000,8.250000,9,0.000500,0.001000,0.145000,False,"[4, 487, 1507, 1487, 108, 798, 1363, 1120, 526, 328, 1138, 1416, 463, 245, 1019, 393, 539, 1432, 222, 1259, 916, 497, 452, 696, 60, 820, 1374, 1584, 107, 948, 1146, 686, 357, 501, 1139, 1011, 1545, 778, 1449, 1184, 889, 1350, 1075, 1347, 806, 522, 612, 162, 940, 467, 790, 595, 996, 1239, 507, 432, 562, 266, 1179, 979, 1142, 437, 1051, 5, 1089, 1013, 181, 368, 1431, 151, 1485, 1390, 24, 199, 244, 294, 770, 1429, 193, 765, 105, 1468, 1112, 80, 986, 1496, 441, 966, 86, 727, 1351, 137, 1420, 839, 484, 1330, 187, 1401, 1546, 1258, 1175, 605, 1037, 293, 276, 410, 949, 962, 864, 354, 1509, 347, 1029, 214, 129, 854, 718, 1067, 1073, 1483, 26, 874, 1309, 710, 211, 1459, 994, 228, 636, 1180, 170, 1205, 468, 420, 184, 831, 616, 374, 232, 961, 1341, 1446, 677, 1225, 999, 1127, 1525, 1537, 302, 310, 49, 657, 1335, 760, 1551, 196, 641, 1514, 1473, 959, 166, 620, 1155, 377, 664, 551, 913, 265, 1598, 425, 1533, 985, 243, 103, 270, 35, 1387, 511, 1163, 79, 1039, 846, 623, 1237, 713, 757, 1451, 472, 416, 1071, 1276, 1306, 956, 1174, 1539, 957, 1095, 908, 1474, 1156]",Simple,Uncertain+Random,200,1400,0
3.620334,9,3.894118,26.000000,8.250000,10,0.000500,0.001000,0.145000,False,"[4, 487, 1507, 1487, 108, 798, 1363, 1120, 526, 328, 1138, 1416, 463, 245, 1019, 393, 539, 1432, 222, 1259, 916, 497, 452, 696, 60, 820, 1374, 1584, 107, 948, 1146, 686, 357, 501, 1139, 1011, 1545, 778, 1449, 1184, 889, 1350, 1075, 1347, 806, 522, 612, 162, 940, 467, 790, 595, 996, 1239, 507, 432, 562, 266, 1179, 979, 1142, 437, 1051, 5, 1089, 1013, 181, 368, 1431, 151, 1485, 1390, 24, 199, 244, 294, 770, 1429, 193, 765, 105, 1468, 1112, 80, 986, 1496, 441, 966, 86, 727, 1351, 137, 1420, 839, 484, 1330, 187, 1401, 1546, 1258, 1175, 605, 1037, 293, 276, 410, 949, 962, 864, 354, 1509, 347, 1029, 214, 129, 854, 718, 1067, 1073, 1483, 26, 874, 1309, 710, 211, 1459, 994, 228, 636, 1180, 170, 1205, 468, 420, 184, 831, 616, 374, 232, 961, 1341, 1446, 677, 1225, 999, 1127, 1525, 1537, 302, 310, 49, 657, 1335, 760, 1551, 196, 641, 1514, 1473, 959, 166, 620, 1155, 377, 664, 551, 913, 265, 1598, 425, 1533, 985, 243, 103, 270, 35, 1387, 511, 1163, 79, 1039, 846, 623, 1237, 713, 757, 1451, 472, 416, 1071, 1276, 1306, 956, 1174, 1539, 957, 1095, 908, 1474, 1156]",Simple,Uncertain+Random,200,1400,0
