,Sepal width,Petal width,Labels,Status
0,6.0,1.6,1,Pool
1,6.4,2.3,2,Train
2,6.4,1.5,1,Pool
3,5.1,0.2,0,Train
4,5.2,0.1,0,Pool
5,6.7,1.5,1,Pool
6,6.4,2.2,2,Pool
7,5.7,1.3,1,Pool
8,7.2,1.8,2,Pool
9,4.8,0.2,0,Pool
10,5.8,1.2,1,Pool
11,5.7,1.2,1,Pool
12,6.1,1.4,2,Pool
13,4.9,1.7,2,Pool
14,6.7,2.3,2,Pool
15,5.8,1.9,2,Pool
16,6.1,1.8,2,Pool
17,5.0,0.3,0,Pool
18,6.3,1.8,2,Pool
19,6.9,2.3,2,Pool
20,5.6,1.3,1,Pool
21,5.4,1.5,1,Pool
22,7.7,2.3,2,Pool
23,6.8,1.4,1,Pool
24,7.3,1.8,2,Pool
25,5.7,0.3,0,Pool
26,7.7,2.0,2,Pool
27,5.1,0.3,0,Pool
28,6.3,1.5,1,Pool
29,6.4,2.1,2,Pool
30,6.1,1.4,1,Pool
31,5.5,0.2,0,Pool
32,5.7,1.0,1,Pool
33,6.9,2.1,2,Pool
34,5.4,0.2,0,Pool
35,5.8,1.2,1,Pool
36,4.4,0.2,0,Pool
37,5.4,0.2,0,Pool
38,6.2,1.8,2,Pool
39,6.0,1.5,2,Pool
40,5.8,0.2,0,Pool
41,6.7,2.5,2,Pool
42,4.7,0.2,0,Pool
43,5.0,0.2,0,Pool
44,6.7,1.7,1,Pool
45,5.0,1.0,1,To sample
46,4.3,0.1,0,Pool
47,6.3,1.9,2,Pool
48,6.3,1.5,2,Pool
49,5.6,1.1,1,Pool
50,4.9,1.0,1,To sample
51,5.0,0.4,0,Pool
52,6.1,1.3,1,Pool
53,4.9,0.1,0,Pool
54,6.7,1.4,1,Pool
55,5.2,0.2,0,Pool
56,5.1,0.5,0,Pool
57,6.5,2.2,2,Pool
58,5.1,0.4,0,Pool
59,6.6,1.3,1,Pool
60,6.0,1.0,1,Pool
61,4.9,0.2,0,Pool
62,4.6,0.2,0,Pool
63,6.3,2.5,2,Pool
64,5.5,1.1,1,Pool
65,5.5,0.2,0,Pool
66,5.8,1.0,1,Pool
67,7.6,2.1,2,Pool
68,6.1,1.4,1,Pool
69,7.9,2.0,2,Pool
70,4.8,0.2,0,Pool
71,4.6,0.2,0,Pool
72,6.0,1.6,1,Pool
73,5.6,1.3,1,Pool
74,5.8,2.4,2,Pool
75,6.3,1.6,1,Pool
76,6.5,2.0,2,Pool
77,5.1,0.3,0,Pool
78,6.9,2.3,2,Pool
79,5.1,0.2,0,Pool
80,5.6,1.5,1,Pool
81,5.0,1.0,1,To sample
82,5.7,1.3,1,Pool
83,5.0,0.2,0,Pool
84,5.1,0.4,0,Pool
85,6.8,2.3,2,Pool
86,4.4,0.2,0,Pool
87,7.7,2.2,2,Pool
88,6.0,1.8,2,Pool
89,4.8,0.2,0,Pool
90,5.0,0.2,0,Pool
91,5.2,1.4,1,Pool
92,5.5,1.3,1,Pool
93,5.9,1.8,2,Pool
94,6.9,1.5,1,Train
95,6.5,1.8,2,Pool
96,6.7,2.4,2,Pool
97,4.5,0.3,0,Pool
98,4.9,0.1,0,Pool
99,5.5,1.0,1,Pool
100,6.6,1.4,1,Pool
101,7.1,2.1,2,Pool
102,6.3,1.8,2,Pool
103,5.1,0.2,0,Pool
104,4.6,0.3,0,Pool
105,4.8,0.1,0,Pool
106,5.7,2.0,2,Pool
107,5.6,1.3,1,Pool
108,6.5,2.0,2,Pool
109,7.4,1.9,2,Pool
110,6.3,1.3,1,Pool
111,4.4,0.2,0,Pool
