,Principal Component 1,Principal Component 2,Labels,AL_Value,Status
0,-53.44957478428049,-9.785110384252352,2,0.00047859352,Pool
1,-68.43353890308649,-10.94485920190837,2,0.0010880511,Train
2,-24.884995000365375,7.4454656442222555,1,0.001558869,Pool
3,-54.81287931583895,-12.274950960387471,2,0.08388461,Pool
4,22.19346312160365,0.6117282050843719,1,0.00022994367,Pool
5,-42.353311730264664,2.676377151144495,2,0.131073,Pool
6,-70.63728658759501,-16.241439054029335,2,0.11682118,Pool
7,20.0548668134621,71.54824516179387,0,0.03644672,Train
8,-33.23625333574053,0.013379905744309155,2,0.0018881822,Train
9,52.792861789379394,-38.915739898454724,0,0.019387944,Pool
10,-65.04847487236007,-9.317074704691047,2,0.0013622467,Pool
11,23.605101000645394,29.859976753681043,1,0.06632483,Pool
12,63.275773710403804,-7.751671529264227,0,0.021169733,Pool
13,73.27785325593273,-8.952854846938513,0,0.69637245,To sample
14,-9.82295634864748,-14.757665887655754,1,0.46844766,To sample
15,-60.18178424320665,-12.466699066221544,2,0.006878656,Train
16,-41.90996740747744,11.399932675215156,2,0.023659328,Train
17,-11.317398320845106,18.701474175798687,2,0.04501444,Train
18,47.80335807773195,-14.603173867787735,0,0.39255935,Pool
19,-40.134514840122726,-25.11215705238921,2,0.44721133,Pool
20,-21.196141258003426,13.658315866583864,1,0.077298224,Pool
21,72.32354656150419,-29.03478842601543,0,0.0013912813,Train
22,-24.614419177590218,9.948797018862251,1,0.0009977703,Pool
23,64.69764213936382,-36.614547966473644,0,0.40818346,Pool
24,-30.023785736861424,36.007775711041106,2,0.19196817,Pool
25,52.73262284416176,47.80484536444669,1,0.0038842885,Pool
26,0.8552220805411119,21.757439159903985,1,0.005755443,Pool
27,4.6890771794810915,25.67941124736712,1,0.004826911,Pool
28,82.47861370082853,-4.642192029591623,0,0.15480548,Pool
29,43.458691583020226,38.011459672875084,0,0.013213513,Pool
30,109.15827971846328,59.65009038954915,1,0.032509178,Train
31,-0.16070664361698625,39.83055034688851,0,0.054433055,Pool
32,-21.729778240188985,7.794767726220769,1,0.019302199,Train
33,25.312724177480042,-8.05689723119042,0,0.105028205,Pool
34,49.12459891153578,-11.485674552150213,0,0.250143,To sample
35,-30.818043132740375,27.021547325891778,2,0.0008107106,Train
36,-24.000157931974773,9.797392098234102,1,0.0016382707,Pool
37,49.26706406925693,-40.928013991686925,0,0.576684,Train
38,50.603193024211684,-43.48533318141416,0,0.08921779,Train
39,25.901743537975022,-15.525433631944335,0,0.24004185,Pool
40,-57.2050747590238,-6.599310422280854,2,0.0017979031,Pool
41,42.55271707213954,37.68619983228881,1,0.00023584862,Pool
42,60.792498005886216,-24.824944839701452,0,0.08287253,Train
43,-0.5173973270291734,22.852831761139026,1,0.064628765,Pool
44,11.979412962773603,-3.8646995383034803,1,0.0013383206,Pool
45,-20.33285200116444,-6.0985528102862245,1,0.010636663,Pool
46,12.184769363682895,-30.841725186217847,0,0.35541666,Pool
47,-79.8302313993107,-16.07779886050135,2,0.009424839,Train
48,-44.6332653806748,-7.642846589948758,2,0.21177964,Pool
49,14.100542489102974,47.13596630665804,1,0.001443377,Pool
50,-26.273066806092036,-0.528998501761789,1,0.0034451145,Pool
51,-58.870123760940366,-15.78762722279221,2,0.0045701903,Train
52,34.538137497693455,-34.24723487174912,0,0.4201382,Pool
53,-17.94081560760193,9.897142638327207,1,0.00011817408,Train
54,-12.701274216413497,4.15856253916918,1,0.002588638,Train
55,-18.888797109087047,11.7972601404638,1,0.0005950001,Pool
