,Principal Component 1,Principal Component 2,Labels,Status
0,-4.926457700585377,8.698092230070843,2,Pool
1,-62.52826367347177,32.93903381771466,2,Train
2,-28.869556719882667,10.336208549405393,1,Pool
3,42.28844119585565,73.89845063340785,2,To sample
4,40.968152240694224,-10.540082070505418,1,Pool
5,-22.453021456506615,72.80839921226541,2,To sample
6,18.028652021576782,3.930045209282918,2,Pool
7,-31.13973235729503,-5.716805161119381,0,Train
8,27.011437468603372,-27.254935200901528,2,Pool
9,-76.9288226841063,19.744913988937,0,Pool
10,47.531457338381436,-6.698076941152216,2,Pool
11,12.436430349298929,-2.7630221196203433,1,Pool
12,-39.70279845884931,2.9044680536331153,0,Pool
13,30.87432667235471,4.847404116631534,0,Pool
14,-137.06758523863365,-5.43404765324292,1,Pool
15,61.66672339933935,-53.785009397332004,2,Train
16,-31.972003990387993,-3.417241008795105,2,Pool
17,-52.41680270202907,-6.293067527964607,2,Train
18,-58.91682964519857,7.792747078332173,0,Pool
19,-43.91919277129531,47.11698089841612,2,Pool
20,47.7081787682317,-4.608864211005452,1,Pool
21,27.702134693406602,5.076832522397162,0,Pool
22,72.28742134496785,-10.939198039640921,1,Pool
23,-77.11556859509622,-4.15837090378233,0,Pool
24,309.68174064645666,-2.16577434783512,2,Pool
25,-12.472997219900892,9.643203613062774,1,Pool
26,54.41049681722377,-37.01599244945987,1,Pool
27,-76.14632513541312,-18.274440917549043,1,Pool
28,-101.27202676349614,22.252692022825197,0,Pool
29,-82.4898553106036,26.65582145957196,0,Pool
30,35.1653971865584,-16.770156428279286,1,Pool
31,-83.29146567037048,10.972905600596,0,Pool
32,-12.81782424696217,4.057596743585343,1,To sample
33,182.94081155486154,149.7648429572426,0,Pool
34,-162.1951614220568,-4.516935779518671,0,Pool
35,49.33739561747745,-29.309651326113553,2,Pool
36,18.3026789821471,-53.31782457168139,1,Pool
37,-91.05266465460186,13.076111517883996,0,Train
38,266.28726245297617,70.04941044254231,0,Pool
39,-53.360493451769166,21.622739140917492,0,Pool
40,-45.965080623330344,-21.35208594940256,2,Pool
41,37.56850526116014,-92.14971174894472,1,Pool
42,-0.08886295223383463,8.91614689511335,0,Train
43,81.17853824871169,-31.076621524182187,1,Pool
44,-16.755060101880616,-25.198906331435957,1,Pool
45,-30.056814810231135,18.59260218223237,1,Pool
46,-40.00787524965632,0.04914510454831097,0,Pool
47,8.089550934562075,0.5724977669902805,2,Pool
48,-54.7223004049483,21.156402640498765,2,Pool
49,78.96128769572447,-23.031104497500618,1,Pool
50,97.77498316614732,-30.320493818450927,1,Pool
51,82.37418709238739,1.8769271019100033,2,Pool
52,-84.5418507329822,16.25187338144657,0,Pool
53,-17.113237527598013,-6.185140634637013,1,Pool
54,-120.68996762416471,-19.723170116855364,1,Train
55,20.751430707233855,-14.203018887270172,1,Pool
56,45.616269400626884,-7.529928116385332,2,To sample
57,142.85205693787128,5.227676407228361,2,Pool
58,-52.07178690701539,4.783112583426951,2,Pool
59,-61.005971764272424,66.98401995023052,0,Pool
60,-59.13627372036339,-23.223686718713775,2,Pool
61,-136.37795626004896,2.161153136706915,0,Pool
62,50.60070490302941,-59.598973444629316,1,Pool
63,49.281403914552605,-35.385386706903375,2,Pool
64,29.837924751152077,-33.76766052662407,2,Pool
65,256.11100975366344,56.05665450072535,2,Pool
66,18.061936574789698,-17.959821987220142,1,Pool
67,-80.02497994531143,-21.26154968186618,1,Pool
68,167.13597636203096,-16.80749842389265,2,Pool
69,296.0693573465253,26.194686683499352,0,Pool
70,-41.6135959679851,-12.474602351525784,2,Train
71,-90.60447902142045,24.31447311359727,0,Train
72,-37.29095220378955,-8.96317766354584,2,Pool
73,-68.18074507337936,22.074987960082485,0,Pool
74,-0.02600957051676182,18.845952955349894,1,Pool
75,-38.7410127399879,57.457484728926765,0,Pool
76,-106.2691709976082,50.93865540139907,0,Pool
77,-114.08223539315657,-19.54093093327257,1,Pool
78,92.88377938228115,-70.97514610334537,1,Pool
79,77.06297240576713,-12.624921804899284,1,Pool
80,-56.203311918027495,-22.34182844660283,0,Pool
81,-48.02613212090727,-12.900437663502242,0,Pool
82,-115.84142611912286,22.418782915159017,0,Pool
83,21.100031541032287,-22.80474525651052,2,Pool
84,-124.36129938170622,-19.877679146996698,0,Pool
85,-19.556559185593354,-9.033858871223524,2,Pool
86,131.53889604098947,-68.92192488580658,1,Pool
87,-101.2236140937992,45.368832786625724,0,Pool
88,31.394695004891556,-32.16981521709264,2,Pool
89,69.61065250493772,49.87802235595268,2,Pool
90,-83.30127370507815,14.42821685303203,0,Pool
91,-47.87179526919588,-14.769525685774141,1,Train
92,25.721855442680717,-12.759544884175044,1,Train
93,105.53259563888335,-11.770540467612935,1,Train
94,-131.60237705079214,-0.47041144226745407,0,Pool
95,4.669718542572288,-18.583861218837175,2,Pool
