,Principal Component 1,Principal Component 2,Labels,AL_Value,Status
0,-53.44957478428062,-9.785110384243499,2,0.50968814,Pool
1,-68.43353890308656,-10.944859201886166,2,0.49902058,Train
2,-24.884995000365226,7.44546564425923,1,0.49759892,Pool
3,-54.81287931583907,-12.274950960358918,2,0.5020888,Train
4,22.193463121603646,0.6117282051447458,1,0.43723223,Train
5,-42.35331173026458,2.67637715115827,2,0.49534738,Train
6,-70.63728658759521,-16.241439053956196,2,0.5129754,Train
7,20.054866813463196,71.548245161896,0,0.57946527,Train
8,-33.23625333574051,0.01337990565655986,2,0.51434785,Pool
9,52.79286178937873,-38.91573989849914,0,0.5038306,Train
10,-65.04847487236017,-9.31707470467323,2,0.49571183,Pool
11,23.605101000645835,29.859976753694898,1,0.5740261,Pool
12,63.275773710403634,-7.751671529198973,0,0.5027737,Pool
13,73.27785325593256,-8.952854846835827,0,0.51293164,Train
14,-9.822956348647697,-14.757665887776355,1,0.49872082,Pool
15,-60.18178424320676,-12.466699066223246,2,0.5008329,Train
16,-41.90996740747722,11.399932675257439,2,0.48479378,Train
17,-11.3173983208448,18.701474175795884,2,0.5040274,Train
18,47.8033580777317,-14.603173867789225,0,0.4937455,Pool
19,-40.13451484012307,-25.112157052404218,2,0.51198715,Pool
20,-21.19614125800319,13.65831586664316,1,0.49589175,Pool
21,72.32354656150369,-29.034788426074016,0,0.45993418,To sample
22,-24.61441917759004,9.94879701886694,1,0.48834565,Pool
23,64.6976421393632,-36.614547966522196,0,0.49103004,Train
24,-30.02378573686084,36.00777571108694,2,0.475403,To sample
25,52.73262284416245,47.80484536439561,1,0.536975,Train
26,0.8552220805414471,21.757439159864827,1,0.5515135,Pool
27,4.689077179481488,25.67941124735923,1,0.4990969,Pool
28,82.47861370082842,-4.64219202951265,0,0.49550807,Train
29,43.45869158302078,38.011459672930485,0,0.52678657,Train
30,109.15827971846412,59.650090389610995,1,0.5937307,Train
31,-0.16070664361637146,39.8305503468157,0,0.5329787,Pool
32,-21.729778240188832,7.79476772624247,1,0.49122033,Pool
33,25.312724177479897,-8.056897231265179,0,0.5126003,Train
34,49.12459891153554,-11.48567455223803,0,0.4872196,Pool
35,-30.81804313273992,27.021547325815995,2,0.48105162,Pool
36,-24.000157931974606,9.797392098243286,1,0.48824614,Pool
37,49.26706406925624,-40.92801399174135,0,0.5155757,Train
38,50.60319302421095,-43.48533318142904,0,0.4893872,Train
39,25.901743537974767,-15.525433632065797,0,0.53272736,Train
40,-57.20507475902386,-6.599310422288566,2,0.5093389,Pool
41,42.55271707214008,37.6861998323428,1,0.53859943,Train
42,60.79249800588576,-24.824944839771327,0,0.4991073,Train
43,-0.5173973270288144,22.852831761108916,1,0.5002144,Pool
44,11.97941296277355,-3.8646995382954064,1,0.47843125,To sample
45,-20.332852001164515,-6.0985528102805855,1,0.47733006,To sample
46,12.184769363682417,-30.841725186056046,0,0.45932075,Train
47,-79.83023139931088,-16.07779886049131,2,0.5246186,Pool
48,-44.63326538067488,-7.642846589947597,2,0.5079447,Pool
49,14.100542489103686,47.135966306661544,1,0.5159425,Train
50,-26.273066806092025,-0.5289985017702309,1,0.49591872,Pool
51,-58.87012376094055,-15.787627222807767,2,0.5003752,Pool
52,34.53813749769288,-34.247234871715634,0,0.48935735,Pool
53,-17.940815607601756,9.897142638325002,1,0.5054692,Pool
54,-12.701274216413417,4.158562539198622,1,0.51913065,Train
55,-18.888797109086845,11.797260140508493,1,0.48801154,Pool
56,-66.36677290061265,-13.544359772013632,2,0.50820124,Train
57,-55.58258265235922,-7.616128612021207,2,0.5253866,Train
58,-60.27323215699083,-9.492471078023254,2,0.5011726,Pool
59,23.291116533192476,7.708059640831077,0,0.5084488,Pool
60,-27.264499723288083,34.572183936725985,2,0.5085489,Pool
61,69.16719171242883,-27.05071392226857,0,0.49819368,Train
62,0.7218315029073985,19.627319090194614,1,0.5708973,Train
63,-53.43873860124091,-8.41416349145324,2,0.49197808,Pool
