,Principal Component 1,Principal Component 2,AL Values,idx,Labels,Status
0,-0.16784245,-0.07607934,0.49969774,65,2,Pool
1,-0.25563344,0.20054346,0.44335115,43,1,Pool
2,-0.06002298,0.0051421113,0.48205698,4,1,Pool
3,-0.030766396,0.35518658,0.58898044,75,0,Pool
4,-0.6778838,0.28558433,0.389564,25,1,Pool
5,-0.31276917,0.2908461,0.4243778,67,1,Pool
6,0.57145363,-0.17381932,0.64006555,94,0,Pool
7,-0.13625968,-0.16256772,0.5313144,56,2,Pool
8,-0.00024004123,-0.08961297,0.5727589,89,2,Pool
9,-0.2062464,-0.19624285,0.45612034,72,2,Pool
10,-0.31875947,0.100374244,0.43669924,92,1,Pool
11,0.33329618,-0.39082322,0.63627464,34,0,Pool
12,-0.26654154,-0.043244068,0.45670164,48,2,Pool
13,-0.1403276,-0.29461956,0.53472877,47,2,Pool
14,-0.23782684,0.17261524,0.4551766,26,1,Pool
15,-0.5206454,0.34448335,0.32774758,7,0,To sample
16,-0.30563596,-0.00912305,0.44036117,2,1,Pool
17,0.6558111,-0.3498847,0.6910118,80,0,Pool
18,-0.19130193,-0.110030755,0.5408521,85,2,Pool
19,0.77500707,-0.44720003,0.74143285,76,0,Pool
20,-0.2906184,-0.014226017,0.43818346,32,1,Pool
21,-0.34601733,0.16235916,0.43377364,62,1,Pool
22,-0.07341564,-0.12122809,0.5343165,88,2,Pool
23,-0.27097777,-0.074305706,0.44425935,20,1,Pool
24,0.4601173,0.08307565,0.55081177,84,0,Pool
25,0.05793829,-0.18563075,0.5789718,3,2,Pool
26,-0.07035879,-0.09212948,0.54301685,11,1,Pool
27,-0.50177366,-0.06057256,0.4032533,41,1,Pool
28,-0.28496274,-0.1269873,0.46233582,57,2,Pool
29,-0.28549048,-0.011154016,0.44955885,22,1,Pool
30,-0.22770905,0.013042201,0.47682345,0,2,Pool
31,-0.30308253,-0.05471779,0.42892018,86,1,Pool
32,-0.091948606,0.15816133,0.46115512,60,2,Pool
33,0.37881482,-0.045433808,0.63510907,52,0,Pool
34,-0.22114505,0.23692285,0.44809198,27,1,Pool
35,-0.23859361,-0.11903199,0.48057875,58,2,Pool
36,0.85251695,0.44551638,0.81680834,82,0,Pool
37,0.026329763,-0.08497918,0.5510224,39,0,Pool
38,-0.25375918,-0.0046617705,0.46207777,78,1,Pool
39,-0.32174975,-0.017629381,0.42567748,8,2,Pool
40,-0.29672268,0.020635748,0.4395185,31,0,Pool
41,-0.31776306,-0.028949639,0.42783177,36,1,Pool
42,0.012998193,0.15531969,0.5003011,59,0,Pool
43,-0.24519785,-0.08002745,0.4640947,64,2,Pool
44,0.55354124,0.057801265,0.7348747,18,0,Pool
45,-0.21633601,-0.06792315,0.48527527,5,2,Pool
46,-0.07076235,-0.19273828,0.51495516,68,2,Pool
47,0.92466754,0.5318913,0.81677824,79,1,Pool
48,-0.15658563,0.07372873,0.45431292,49,1,Pool
49,-0.08090059,-0.086597145,0.5361596,95,2,Pool
50,0.67948455,-0.27971995,0.7052384,69,0,Pool
51,-0.27321485,-0.08142121,0.4460341,50,1,Pool
52,-0.2171557,-0.00020619667,0.46663117,55,1,Pool
53,-0.2290801,0.020660577,0.46334544,77,1,Pool
54,0.6724732,-0.34390715,0.7063442,38,0,Pool
55,-0.2762268,-0.10434181,0.4346093,45,1,Pool
56,-0.19429338,-0.15391609,0.48086825,10,2,Pool
57,0.6756883,0.37448347,0.61552364,21,0,Pool
58,-0.29201898,-0.14539199,0.49033442,70,2,Pool
